event_alias,bounded_context,class,producer,flow_pattern,authoritative_source,aggregate,synchronous_write_set,canonical_store,outbox_required,ordering,consumers,external_effect,retry_policy,dead_letter,reconciliation,privacy_class,evidence_kind,feature_input,retention_class,required_data,optional_data,notes
personalization.segment.assigned,diagnostics,domain,personalization_engine,internal_domain_transaction,platform_domain_transaction,segment_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,segment_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;intervention_orchestrator;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,segment_assignment_id;segment_definition_id;policy_version;subject_id;reason_codes;valid_from,valid_until;source_event_ids,
personalization.segment.removed,diagnostics,domain,personalization_engine,internal_domain_transaction,platform_domain_transaction,segment_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,segment_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;intervention_orchestrator;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,segment_assignment_id;removed_at;reason_code,,
personalization.uncertainty.recorded,diagnostics,domain,personalization_engine,internal_domain_transaction,platform_domain_transaction,recommendation,domain state; canonical_event; outbox,immutable canonical event store,yes,recommendation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,research_projection;explanation_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,subject_id;policy_version;uncertainty_reasons;recorded_at,missing_inputs,
learning.activity.started,learning_delivery,behavioral_domain,learning_delivery,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,progress_projection;behavioral_store;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,activity_instance_id;activity_version_id;journey_instance_id;started_at,entry_point;attempt_number,
learning.activity.paused,learning_delivery,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,activity_instance,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,progress_projection;behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_acknowledged,conditional,operational,activity_instance_id;paused_at,position;active_duration_seconds;client_event_id,
learning.activity.resumed,learning_delivery,behavioral_domain,learning_delivery,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,progress_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,activity_instance_id;resumed_at,resume_position,
learning.activity.progressed,learning_delivery,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,activity_instance,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,progress_projection;behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_acknowledged,conditional,operational,activity_instance_id;progress_measure;progress_unit;client_event_id,active_duration_seconds;client_time;media_position,Eventos de progresso devem ser limitados por frequência e consolidados para evitar ruído.
learning.activity.completed,learning_delivery,behavioral_domain,learning_delivery,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,progress_projection;journey_orchestration;behavioral_store;gamification_engine,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,activity_instance_id;completion_policy_version;completed_at;evidence_refs,active_duration_seconds,
learning.activity.revisited,learning_delivery,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,activity_instance,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_acknowledged,conditional,operational,activity_instance_id;revisited_at;client_event_id,entry_point,
learning.asset.opened,learning_delivery,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,content_asset,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,content_asset: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_acknowledged,weak_only,operational,content_asset_id;activity_instance_id;client_event_id;opened_at,asset_type,
learning.asset.downloaded,learning_delivery,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,content_asset,domain state; canonical_event; outbox,immutable canonical event store,yes,content_asset: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,conditional,operational,content_asset_id;activity_instance_id;download_receipt_id;downloaded_at,,
learning.external_resource.opened,learning_delivery,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,external_resource,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,external_resource: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_acknowledged,weak_only,operational,resource_definition_id;activity_instance_id;client_event_id;opened_at,destination_domain,Não armazenar URL completa com query string.
assessment.attempt.started,assessment,behavioral_domain,assessment,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,assessment_attempt_id;assessment_version_id;activity_instance_id;attempt_number;started_at,,
assessment.answer.recorded,assessment,behavioral,assessment,client_or_external_observation,accepted_observation; not authoritative for critical domain state,assessment_attempt,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_acknowledged,conditional,operational,assessment_attempt_id;question_version_id;answer_payload;answer_sequence;recorded_at,response_time_ms,
assessment.attempt.submitted,assessment,behavioral_domain,assessment,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;scoring_engine;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,assessment_attempt_id;submitted_at;answered_count,active_duration_seconds,
assessment.attempt.scored,assessment,domain,scoring_engine,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;journey_orchestration;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,derived_only,operational,assessment_attempt_id;scoring_policy_version;score;max_score;scored_at,dimension_scores;quality_flags,
assessment.attempt.passed,assessment,domain,scoring_engine,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;journey_orchestration;gamification_engine,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,derived_only,operational,assessment_attempt_id;passing_policy_version;passed_at;evidence_refs,,
assessment.attempt.failed,assessment,domain,scoring_engine,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,derived_only,operational,assessment_attempt_id;passing_policy_version;failed_at,reason_codes,
assessment.attempt.invalidated,assessment,audit,assessment,privileged_transaction,platform_domain_transaction,assessment_attempt,domain/audit state; canonical_event; outbox; audit metadata,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,assessment_attempt_id;invalidated_at;reason_code;invalidated_by,,
assessment.feedback.available,assessment,domain,assessment,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;notification_orchestrator,notification job may be created,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,assessment_attempt_id;feedback_version;available_at,,
assessment.feedback.viewed,assessment,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,assessment_attempt,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_acknowledged,conditional,operational,assessment_attempt_id;feedback_version;client_event_id;viewed_at,,
assessment.retry.available,assessment,domain,assessment,internal_domain_transaction,platform_domain_transaction,assessment_attempt,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_attempt: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,assessment_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,assessment_attempt_id;retry_policy_version;next_attempt_number;available_at,available_until,
practice.activity.started,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,practice_instance_id;activity_instance_id;started_at,,
practice.submission.draft_saved,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,conditional,operational,submission_id;practice_instance_id;revision_number;saved_at,field_presence;attachment_count,
practice.evidence.attached,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;security_scanner,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,conditional,operational,submission_id;evidence_asset_id;asset_type;attached_at,content_hash,
practice.evidence.removed,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,submission_id;evidence_asset_id;removed_at,reason_code,
practice.submission.submitted,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;review_queue;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,eligible,operational,submission_id;practice_instance_id;revision_number;submitted_at;evidence_refs,self_report_fields,
practice.review.started,practice,audit,practice,privileged_transaction,platform_domain_transaction,practice_review,domain/audit state; canonical_event; outbox; audit metadata,immutable canonical event store,yes,practice_review: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,review_id;submission_id;reviewer_id;rubric_version;started_at,,
practice.revision.requested,practice,domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;notification_orchestrator;behavioral_store,notification job may be created,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,conditional,operational,review_id;submission_id;rubric_version;reason_codes;requested_at,feedback_ref,
practice.submission.resubmitted,practice,behavioral_domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;review_queue;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,eligible,operational,submission_id;revision_number;resubmitted_at;evidence_refs,,
practice.submission.accepted,practice,domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;journey_orchestration;gamification_engine;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,eligible,operational,review_id;submission_id;rubric_version;accepted_at;evidence_summary,,
practice.submission.rejected,practice,domain,practice,internal_domain_transaction,platform_domain_transaction,practice_submission,domain state; canonical_event; outbox,immutable canonical event store,yes,practice_submission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,practice_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,review_id;submission_id;rubric_version;rejected_at;reason_codes,,
practice.application.self_reported,practice,behavioral,practice,internal_domain_transaction,platform_domain_transaction,application_evidence,domain state; canonical_event; outbox,immutable canonical event store,yes,application_evidence: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,research_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,self_reported,conditional,operational,practice_instance_id;application_status;reported_at,result_description_code;evidence_asset_id,Nunca equivale automaticamente a aplicação comprovada.
practice.application.verified,practice,domain,practice,internal_domain_transaction,platform_domain_transaction,application_evidence,domain state; canonical_event; outbox,immutable canonical event store,yes,application_evidence: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,research_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,reviewer_validated,eligible,operational,application_evidence_id;practice_instance_id;verification_method;verified_at;verifier_id,evidence_refs,
practice.use_permission.granted,governance,domain,governance,internal_domain_transaction,platform_domain_transaction,content_permission,domain state; canonical_event; outbox,immutable canonical event store,yes,content_permission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,content_curation;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,permission_id;submission_id;purpose_code;notice_version;granted_at,expires_at,
practice.use_permission.withdrawn,governance,domain,governance,internal_domain_transaction,platform_domain_transaction,content_permission,domain state; canonical_event; outbox,immutable canonical event store,yes,content_permission: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,content_curation;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,permission_id;submission_id;withdrawn_at,,
engagement.points.awarded,engagement,domain,gamification_engine,internal_domain_transaction,platform_domain_transaction,point_ledger_entry,domain state; canonical_event; outbox,immutable canonical event store,yes,point_ledger_entry: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,points_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,ledger_entry_id;entrepreneur_id;rule_version;points;source_event_ids;awarded_at,journey_instance_id,Evento derivado de fatos de origem; não usar diretamente como feature.
engagement.points.reversed,engagement,domain,gamification_engine,internal_domain_transaction,platform_domain_transaction,point_ledger_entry,domain state; canonical_event; outbox,immutable canonical event store,yes,point_ledger_entry: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,points_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,ledger_entry_id;reverses_entry_id;reason_code;reversed_at,,
engagement.badge.awarded,engagement,domain,gamification_engine,internal_domain_transaction,platform_domain_transaction,badge_award,domain state; canonical_event; outbox,immutable canonical event store,yes,badge_award: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,badge_projection;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,badge_award_id;badge_version_id;entrepreneur_id;source_event_ids;awarded_at,journey_instance_id,
engagement.badge.revoked,engagement,domain,gamification_engine,internal_domain_transaction,platform_domain_transaction,badge_award,domain state; canonical_event; outbox,immutable canonical event store,yes,badge_award: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,badge_projection;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,badge_award_id;reason_code;revoked_at,,
credential.certificate.issued,credentials,domain,credential_engine,internal_domain_transaction,platform_domain_transaction,certificate,domain state; canonical_event; outbox,immutable canonical event store,yes,certificate: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,credential_projection;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,certificate_id;certificate_definition_version_id;entrepreneur_id;journey_instance_id;evidence_snapshot;issued_at,expires_at,
credential.certificate.revoked,credentials,domain,credential_engine,internal_domain_transaction,platform_domain_transaction,certificate,domain state; canonical_event; outbox,immutable canonical event store,yes,certificate: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,credential_projection;crm_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_transactional,ineligible,operational,certificate_id;reason_code;revoked_at,,
credential.certificate.downloaded,credentials,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,certificate,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,certificate: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,verify unique source_event/rule and ledger/snapshot consistency,pseudonymous,server_acknowledged,weak_only,operational,certificate_id;client_event_id;downloaded_at,,
intervention.eligibility.detected,interventions,domain,intervention_orchestrator,internal_domain_transaction,platform_domain_transaction,intervention_candidate,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_candidate: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,candidate_id;intervention_definition_version_id;subject_id;trigger_event_ids;rule_version;detected_at,priority,
intervention.instance.created,interventions,domain,intervention_orchestrator,internal_domain_transaction,platform_domain_transaction,intervention_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;notification_orchestrator,notification job may be created,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,intervention_instance_id;candidate_id;channel;created_at,scheduled_for,
intervention.instance.suppressed,interventions,domain,intervention_orchestrator,internal_domain_transaction,platform_domain_transaction,intervention_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,intervention_instance_id;suppression_policy_version;reason_codes;suppressed_at,,
intervention.message.sent,interventions,integration,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,intervention_instance,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_confirmed,ineligible,operational,intervention_instance_id;delivery_id;channel;provider;sent_at,template_version,
intervention.message.delivered,interventions,integration,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,intervention_instance,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;research_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_confirmed,conditional,operational,intervention_instance_id;delivery_id;delivered_at,,
intervention.message.opened,interventions,behavioral,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,intervention_instance,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;research_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_observed,weak_only,operational,intervention_instance_id;delivery_id;opened_at,,
intervention.action.taken,interventions,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,intervention_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;behavioral_store;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,conditional,operational,intervention_instance_id;action_code;source_event_id;acted_at,,Evitar circularidade quando a própria resposta for o outcome da intervenção.
intervention.instance.dismissed,interventions,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,intervention_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,conditional,operational,intervention_instance_id;dismissed_at,reason_code,
intervention.delivery.failed,interventions,integration,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,intervention_instance,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection;operations_monitoring,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,external_confirmed,ineligible,operational,intervention_instance_id;delivery_id;failure_code;failed_at,retryable,
